UNIQUE_IDENTIFIER,LIST_ID,LISTED_WATER_NAME,DETAILED_CAUSE,PARENT_CAUSE,CYCLE_YEAR,STATE,HUC8_LIST,FEATUREDETAILURL
AL03140106-0302-202<<=>>2010,AL03140106-0302-202,BOGGY BRANCH,TOTAL AMMONIA,AMMONIA,2010,AL,3140106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140106-0302-202&p_cycle=2010&p_state=AL
AL03140106-0302-202<<=>>2010,AL03140106-0302-202,BOGGY BRANCH,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140106-0302-202&p_cycle=2010&p_state=AL
AL03140201-0501-201<<=>>2010,AL03140201-0501-201,BEAVER CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-0501-201&p_cycle=2010&p_state=AL
AL03140201-0501-201<<=>>2010,AL03140201-0501-201,BEAVER CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-0501-201&p_cycle=2010&p_state=AL
AL03140201-0501-201<<=>>2010,AL03140201-0501-201,BEAVER CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-0501-201&p_cycle=2010&p_state=AL
AL03140201-1004-600<<=>>2010,AL03140201-1004-600,DOWLING BRANCH,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-1004-600&p_cycle=2010&p_state=AL
AL03140201-1004-600<<=>>2010,AL03140201-1004-600,DOWLING BRANCH,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-1004-600&p_cycle=2010&p_state=AL
AL03140201-1102-500<<=>>2010,AL03140201-1102-500,BLANKET CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-1102-500&p_cycle=2010&p_state=AL
AL03140201-1102-500<<=>>2010,AL03140201-1102-500,BLANKET CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3140201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03140201-1102-500&p_cycle=2010&p_state=AL
AL03150105-0807-103<<=>>2010,AL03150105-0807-103,SPRING CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3150105,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150105-0807-103&p_cycle=2010&p_state=AL
AL03150107-0304-700<<=>>2010,AL03150107-0304-700,UNNAMED TRIBUTARY TO DRY BRANCH,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3150107,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150107-0304-700&p_cycle=2010&p_state=AL
AL03150201-0101-200<<=>>2010,AL03150201-0101-200,CALLAWAY CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3150201,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150201-0101-200&p_cycle=2010&p_state=AL
AL03150203-0103-200<<=>>2010,AL03150203-0103-200,COFFEE CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0103-200&p_cycle=2010&p_state=AL
AL03150203-0703-101<<=>>2010,AL03150203-0703-101,ALABAMA RIVER (CLAIBORNE LAKE),NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0703-101&p_cycle=2010&p_state=AL
AL03150203-0703-101<<=>>2010,AL03150203-0703-101,ALABAMA RIVER (CLAIBORNE LAKE),CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0703-101&p_cycle=2010&p_state=AL
AL03150203-0805-102<<=>>2010,AL03150203-0805-102,ALABAMA RIVER (CLAIBORNE LAKE),NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-102&p_cycle=2010&p_state=AL
AL03150203-0805-102<<=>>2010,AL03150203-0805-102,ALABAMA RIVER (CLAIBORNE LAKE),CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-102&p_cycle=2010&p_state=AL
AL03150203-0805-103<<=>>2010,AL03150203-0805-103,ALABAMA RIVER (CLAIBORNE LAKE),NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-103&p_cycle=2010&p_state=AL
AL03150203-0805-103<<=>>2010,AL03150203-0805-103,ALABAMA RIVER (CLAIBORNE LAKE),CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-103&p_cycle=2010&p_state=AL
AL03150203-0805-104<<=>>2010,AL03150203-0805-104,ALABAMA RIVER (CLAIBORNE LAKE),NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-104&p_cycle=2010&p_state=AL
AL03150203-0805-104<<=>>2010,AL03150203-0805-104,ALABAMA RIVER (CLAIBORNE LAKE),CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-104&p_cycle=2010&p_state=AL
AL03150203-0805-105<<=>>2010,AL03150203-0805-105,ALABAMA RIVER (CLAIBORNE LAKE),CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-105&p_cycle=2010&p_state=AL
AL03150203-0805-105<<=>>2010,AL03150203-0805-105,ALABAMA RIVER (CLAIBORNE LAKE),NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3150203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03150203-0805-105&p_cycle=2010&p_state=AL
AL03160106-0702-101<<=>>2010,AL03160106-0702-101,FACTORY CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160106-0702-101&p_cycle=2010&p_state=AL
AL03160106-0702-101<<=>>2010,AL03160106-0702-101,FACTORY CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160106-0702-101&p_cycle=2010&p_state=AL
AL03160106-0702-101<<=>>2010,AL03160106-0702-101,FACTORY CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160106,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160106-0702-101&p_cycle=2010&p_state=AL
AL03160109-0105-101<<=>>2010,AL03160109-0105-101,BRINDLEY CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0105-101&p_cycle=2010&p_state=AL
AL03160109-0105-102<<=>>2010,AL03160109-0105-102,BRINDLEY CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0105-102&p_cycle=2010&p_state=AL
AL03160109-0108-102<<=>>2010,AL03160109-0108-102,MUD CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0108-102&p_cycle=2010&p_state=AL
AL03160109-0108-102<<=>>2010,AL03160109-0108-102,MUD CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0108-102&p_cycle=2010&p_state=AL
AL03160109-0203-101<<=>>2010,AL03160109-0203-101,MULBERRY FORK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0203-101&p_cycle=2010&p_state=AL
AL03160109-0203-102<<=>>2010,AL03160109-0203-102,MULBERRY FORK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0203-102&p_cycle=2010&p_state=AL
AL03160109-0404-101<<=>>2010,AL03160109-0404-101,CANE CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-101&p_cycle=2010&p_state=AL
AL03160109-0404-101<<=>>2010,AL03160109-0404-101,CANE CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-101&p_cycle=2010&p_state=AL
AL03160109-0404-101<<=>>2010,AL03160109-0404-101,CANE CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-101&p_cycle=2010&p_state=AL
AL03160109-0404-102<<=>>2010,AL03160109-0404-102,CANE CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-102&p_cycle=2010&p_state=AL
AL03160109-0404-102<<=>>2010,AL03160109-0404-102,CANE CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-102&p_cycle=2010&p_state=AL
AL03160109-0404-102<<=>>2010,AL03160109-0404-102,CANE CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-102&p_cycle=2010&p_state=AL
AL03160109-0404-103<<=>>2010,AL03160109-0404-103,CANE CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-103&p_cycle=2010&p_state=AL
AL03160109-0404-103<<=>>2010,AL03160109-0404-103,CANE CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-103&p_cycle=2010&p_state=AL
AL03160109-0404-103<<=>>2010,AL03160109-0404-103,CANE CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0404-103&p_cycle=2010&p_state=AL
AL03160109-0602-601<<=>>2010,AL03160109-0602-601,OLD TOWN CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160109,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160109-0602-601&p_cycle=2010&p_state=AL
AL03160111-0203-100<<=>>2010,AL03160111-0203-100,DRY CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0203-100&p_cycle=2010&p_state=AL
AL03160111-0203-100<<=>>2010,AL03160111-0203-100,DRY CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0203-100&p_cycle=2010&p_state=AL
AL03160111-0203-100<<=>>2010,AL03160111-0203-100,DRY CREEK,TOTAL AMMONIA,AMMONIA,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0203-100&p_cycle=2010&p_state=AL
AL03160111-0203-100<<=>>2010,AL03160111-0203-100,DRY CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0203-100&p_cycle=2010&p_state=AL
AL03160111-0305-102<<=>>2010,AL03160111-0305-102,LOCUST FORK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0305-102&p_cycle=2010&p_state=AL
AL03160111-0308-102<<=>>2010,AL03160111-0308-102,LOCUST FORK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0308-102&p_cycle=2010&p_state=AL
AL03160111-0404-102<<=>>2010,AL03160111-0404-102,LOCUST FORK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160111,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160111-0404-102&p_cycle=2010&p_state=AL
AL03160112-0411-102<<=>>2010,AL03160112-0411-102,NORTH RIVER,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160112,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160112-0411-102&p_cycle=2010&p_state=AL
AL03160113-0704-100<<=>>2010,AL03160113-0704-100,COTTONWOOD CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160113,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160113-0704-100&p_cycle=2010&p_state=AL
AL03160113-0704-100<<=>>2010,AL03160113-0704-100,COTTONWOOD CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160113,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160113-0704-100&p_cycle=2010&p_state=AL
AL03160113-0704-100<<=>>2010,AL03160113-0704-100,COTTONWOOD CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160113,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160113-0704-100&p_cycle=2010&p_state=AL
AL03160203-1103-700<<=>>2010,AL03160203-1103-700,BILBO CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160203-1103-700&p_cycle=2010&p_state=AL
AL03160203-1103-700<<=>>2010,AL03160203-1103-700,BILBO CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160203-1103-700&p_cycle=2010&p_state=AL
AL03160204-0504-300<<=>>2010,AL03160204-0504-300,TOULMINS SPRING BRANCH,TOTAL AMMONIA,AMMONIA,2010,AL,3160204,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160204-0504-300&p_cycle=2010&p_state=AL
AL03160204-0504-300<<=>>2010,AL03160204-0504-300,TOULMINS SPRING BRANCH,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160204,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160204-0504-300&p_cycle=2010&p_state=AL
AL03160204-0504-500<<=>>2010,AL03160204-0504-500,UNNAMED TRIBUTARY TO THREEMILE CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,3160204,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160204-0504-500&p_cycle=2010&p_state=AL
AL03160205-0105-100<<=>>2010,AL03160205-0105-100,MIDDLE FORK DEER RIVER,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160205,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160205-0105-100&p_cycle=2010&p_state=AL
AL03160205-0105-100<<=>>2010,AL03160205-0105-100,MIDDLE FORK DEER RIVER,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160205,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160205-0105-100&p_cycle=2010&p_state=AL
AL03160205-0202-510<<=>>2010,AL03160205-0202-510,BAKER BRANCH,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160205,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160205-0202-510&p_cycle=2010&p_state=AL
AL03160205-0202-510<<=>>2010,AL03160205-0202-510,BAKER BRANCH,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,3160205,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL03160205-0202-510&p_cycle=2010&p_state=AL
AL06030002-0106-101<<=>>2010,AL06030002-0106-101,GUESS CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030002-0106-101&p_cycle=2010&p_state=AL
AL06030002-0106-101<<=>>2010,AL06030002-0106-101,GUESS CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030002-0106-101&p_cycle=2010&p_state=AL
AL06030002-0303-500<<=>>2010,AL06030002-0303-500,HESTER CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,6030002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030002-0303-500&p_cycle=2010&p_state=AL
AL06030002-0602-200<<=>>2010,AL06030002-0602-200,MUD CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030002-0602-200&p_cycle=2010&p_state=AL
AL06030002-0602-200<<=>>2010,AL06030002-0602-200,MUD CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030002-0602-200&p_cycle=2010&p_state=AL
AL06030002-1101-101<<=>>2010,AL06030002-1101-101,SWAN CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,6030002,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030002-1101-101&p_cycle=2010&p_state=AL
AL06030004-0403-800<<=>>2010,AL06030004-0403-800,SULPHUR CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,6030004,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030004-0403-800&p_cycle=2010&p_state=AL
AL06030004-0405-101<<=>>2010,AL06030004-0405-101,ELK RIVER (WHEELER LAKE),"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,"06030002, 06030005",http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030004-0405-101&p_cycle=2010&p_state=AL
AL06030005-0801-201<<=>>2010,AL06030005-0801-201,MCKIERNAN CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030005-0801-201&p_cycle=2010&p_state=AL
AL06030005-0801-201<<=>>2010,AL06030005-0801-201,MCKIERNAN CREEK,"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,6030005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030005-0801-201&p_cycle=2010&p_state=AL
AL06030005-0801-201<<=>>2010,AL06030005-0801-201,MCKIERNAN CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030005-0801-201&p_cycle=2010&p_state=AL
AL06030005-0801-201<<=>>2010,AL06030005-0801-201,MCKIERNAN CREEK,TOTAL AMMONIA,AMMONIA,2010,AL,6030005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030005-0801-201&p_cycle=2010&p_state=AL
AL06030005-0802-100<<=>>2010,AL06030005-0802-100,POND CREEK,NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030005-0802-100&p_cycle=2010&p_state=AL
AL06030005-0802-100<<=>>2010,AL06030005-0802-100,POND CREEK,CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030005,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030005-0802-100&p_cycle=2010&p_state=AL
AL06030006-0103-104<<=>>2010,AL06030006-0103-104,BEAR CREEK (UPPER BEAR CREEK LAKE),NITROGENOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030006,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030006-0103-104&p_cycle=2010&p_state=AL
AL06030006-0103-104<<=>>2010,AL06030006-0103-104,BEAR CREEK (UPPER BEAR CREEK LAKE),CARBONACEOUS BOD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2010,AL,6030006,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030006-0103-104&p_cycle=2010&p_state=AL
AL06030006-0205-111<<=>>2010,AL06030006-0205-111,LITTLE BEAR CREEK (LITTLE BEAR CREEK RESERVOIR),"PHOSPHORUS, TOTAL",NUTRIENTS,2010,AL,6030006,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AL06030006-0205-111&p_cycle=2010&p_state=AL
AR-1A-11140203-026<<=>>2008,AR-1A-11140203-026,DORCHEAT BAYOU,DISSOLVED OXYGEN,ORGANIC ENRICHMENT/OXYGEN DEPLETION,2008,AR,11140203,http://ofmpub.epa.gov/waters10/attains_waterbody.control?p_list_id=AR-1A-11140203-026&p_cycle=2008&p_state=AR
